Date,Net Worth
4/15/19,14986
4/22/19,15187
4/29/19,15329
5/6/19,14996
5/13/19,14904
5/20/19,14903
5/27/19,14749
6/3/19,14993
6/10/19,14700
6/17/19,15109
6/24/19,15083
7/1/19,15266
7/8/19,15165
7/15/19,14358
7/22/19,14645
7/29/19,14410
8/5/19,14273
8/12/19,14188
8/19/19,14030
8/26/19,14062
9/2/19,14012
9/9/19,14068
9/16/19,13743
9/23/19,13636
9/30/19,13771
10/7/19,13912
10/14/19,13806
10/21/19,13827
10/28/19,13966
11/4/19,14032
11/11/19,14080
11/18/19,14294
11/25/19,14352
12/2/19,14251
12/9/19,14128
12/16/19,14661
12/23/19,14552
12/30/19,14508
1/6/20,14552
1/13/20,14699
1/20/20,14886
1/27/20,14774
2/3/20,15075
2/10/20,15264
2/17/20,15260
2/24/20,15107
3/2/20,15106
3/9/20,14652
3/16/20,14604
3/23/20,14941
3/30/20,15006
4/6/20,15130
4/13/20,15855
4/20/20,15883
4/27/20,15789
5/4/20,15986
5/11/20,16167
5/18/20,15925
5/25/20,15832
6/1/20,15831
6/8/20,15816
6/15/20,16162
6/22/20,16092
6/29/20,16251
7/6/20,16491
7/13/20,16361
7/20/20,16340
7/27/20,16354
8/3/20,16363
8/10/20,16344
8/17/20,16360
8/24/20,16411
8/31/20,16398
9/7/20,16343
9/14/20,16323
9/21/20,16344
9/28/20,16377
10/5/20,16436
10/12/20,16422
10/19/20,16353
10/26/20,16332
11/2/20,16396
11/9/20,16344
11/16/20,16353
11/23/20,16358
11/30/20,16369
12/7/20,16377
12/14/20,16428
12/21/20,16395
12/28/20,16439
1/4/21,16389
1/11/21,16369
1/18/21,16478
1/25/21,16425
2/1/21,16455
2/8/21,16464
2/15/21,16438
2/22/21,16436
3/1/21,16399
3/8/21,16402
3/15/21,16392
3/22/21,16385
3/29/21,16436
4/5/21,16462
4/12/21,16448
4/19/21,16381
4/26/21,16394
5/3/21,16378
5/10/21,16361
5/17/21,16369
5/24/21,16377
5/31/21,16364
6/7/21,16354
6/14/21,16373
6/21/21,16416
6/28/21,16428
7/5/21,16431
7/12/21,16422
7/19/21,16397
7/26/21,16401
8/2/21,16406
8/9/21,16398
8/16/21,16449
8/23/21,16468
8/30/21,16520
9/6/21,16529
9/13/21,16522
9/20/21,16523
9/27/21,16532
10/4/21,16537
10/11/21,16536
10/18/21,16541
10/25/21,16543
11/1/21,16540
11/8/21,16542
11/15/21,16542
11/22/21,16542
11/29/21,16541
12/6/21,16541
12/13/21,16541
12/20/21,16541
12/27/21,16541
1/3/22,16540
1/10/22,16540
1/17/22,16538
1/24/22,24784
1/31/22,33575
2/7/22,41015
2/14/22,49228
2/21/22,57392
2/28/22,62536
3/7/22,67985
3/14/22,82263
3/21/22,89252
3/28/22,97326
4/4/22,101646
4/11/22,106232
4/18/22,81204
4/25/22,81693
5/2/22,86512
5/9/22,97135
5/16/22,104586
5/23/22,116774
5/30/22,126699
6/6/22,125719
6/13/22,129181
6/20/22,146986
6/27/22,147376
7/4/22,160375
7/11/22,169861
7/18/22,203222
7/25/22,207016
8/1/22,208616
8/8/22,227774
8/15/22,220849
8/22/22,210201
8/29/22,211887
9/5/22,216329
9/12/22,220236
9/19/22,212065
9/26/22,215830
10/3/22,211373
10/10/22,212905
10/17/22,230288
10/24/22,232083
10/31/22,224948
11/7/22,229143
11/14/22,228836
11/21/22,228487
11/28/22,233473
12/5/22,233415
12/12/22,230483
12/19/22,230781
12/26/22,230775
1/2/23,232223
1/9/23,233433
1/16/23,234111
1/23/23,235007
1/30/23,235259
2/6/23,234350
2/13/23,234370
2/20/23,233313
2/27/23,233245
3/6/23,232475
3/13/23,232844
3/20/23,233698
3/27/23,234285
4/3/23,234074
4/10/23,234050
4/17/23,233684
4/24/23,233751
5/1/23,233505
5/8/23,234093
5/15/23,234968
5/22/23,235432
5/29/23,236173
6/5/23,236844
6/12/23,237131
6/19/23,236998
6/26/23,237191
7/3/23,237172
7/10/23,237194
7/17/23,237136
7/24/23,237131
7/31/23,237142
8/7/23,237128
8/14/23,237112
8/21/23,237120
8/28/23,237136
9/4/23,237138
9/11/23,237107
9/18/23,237095
9/25/23,237094
10/2/23,237096
10/9/23,237079
10/16/23,355233
10/23/23,354318
10/30/23,364528
11/6/23,368932
11/13/23,374459
11/20/23,378500
11/27/23,374409
12/4/23,370862
12/11/23,376279
12/18/23,380631
12/25/23,380666
1/1/24,378010
1/8/24,380635
1/15/24,379700
1/22/24,385917
1/29/24,385629
2/5/24,385514
2/12/24,386066
2/19/24,386059
2/26/24,386486
3/4/24,386365
3/11/24,386371
3/18/24,386462
3/25/24,386402
4/1/24,386460
4/8/24,386442
4/15/24,386433
4/18/24,386430